"signal_desc" "function_var" "activity" "subject" "mean"
"Body on the Z-axis" "Standard Deviation" "WALKING" 1 -0.3301
"Body on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.2229
"Body on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.2531
"Gravity Magnitude" "Mean" "LAYING" 1 -0.8419
"Gravity Magnitude" "Mean" "SITTING" 1 -0.9485
"Gravity Magnitude" "Mean" "STANDING" 1 -0.9843
"Gravity Magnitude" "Mean" "WALKING" 1 -0.137
"Gravity Magnitude" "Mean" "WALKING_DOWNSTAIRS" 1 0.0272
"Gravity Magnitude" "Mean" "WALKING_UPSTAIRS" 1 -0.1299
"Gravity Magnitude" "Standard Deviation" "LAYING" 1 -0.7951
"Gravity Magnitude" "Standard Deviation" "SITTING" 1 -0.9271
"Gravity Magnitude" "Standard Deviation" "STANDING" 1 -0.9819
"Gravity Magnitude" "Standard Deviation" "WALKING" 1 -0.2197
"Gravity Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 0.0199
"Gravity Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.325
"Gravity on the X-axis" "Mean" "LAYING" 1 -0.2489
"Gravity on the X-axis" "Mean" "SITTING" 1 0.8315
"Gravity on the X-axis" "Mean" "STANDING" 1 0.943
"Gravity on the X-axis" "Mean" "WALKING" 1 0.9352
"Gravity on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 1 0.9319
"Gravity on the X-axis" "Mean" "WALKING_UPSTAIRS" 1 0.8934
"Gravity on the X-axis" "Standard Deviation" "LAYING" 1 -0.8968
"Gravity on the X-axis" "Standard Deviation" "SITTING" 1 -0.9685
"Gravity on the X-axis" "Standard Deviation" "STANDING" 1 -0.9938
"Gravity on the X-axis" "Standard Deviation" "WALKING" 1 -0.9766
"Gravity on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.9506
"Gravity on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.9564
"Gravity on the Y-axis" "Mean" "LAYING" 1 0.7055
"Gravity on the Y-axis" "Mean" "SITTING" 1 0.2044
"Gravity on the Y-axis" "Mean" "STANDING" 1 -0.273
"Gravity on the Y-axis" "Mean" "WALKING" 1 -0.2822
"Gravity on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.2666
"Gravity on the Y-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.3622
"Gravity on the Y-axis" "Standard Deviation" "LAYING" 1 -0.9077
"Gravity on the Y-axis" "Standard Deviation" "SITTING" 1 -0.9355
"Gravity on the Y-axis" "Standard Deviation" "STANDING" 1 -0.9812
"Gravity on the Y-axis" "Standard Deviation" "WALKING" 1 -0.9713
"Gravity on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.937
"Gravity on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.9528
"Gravity on the Z-axis" "Mean" "LAYING" 1 0.4458
"Gravity on the Z-axis" "Mean" "SITTING" 1 0.332
"Gravity on the Z-axis" "Mean" "STANDING" 1 0.0135
"Gravity on the Z-axis" "Mean" "WALKING" 1 -0.0681
"Gravity on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.0621
"Gravity on the Z-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.0754
"Gravity on the Z-axis" "Standard Deviation" "LAYING" 1 -0.8524
"Gravity on the Z-axis" "Standard Deviation" "SITTING" 1 -0.949
"Gravity on the Z-axis" "Standard Deviation" "STANDING" 1 -0.9763
"Gravity on the Z-axis" "Standard Deviation" "WALKING" 1 -0.9477
"Gravity on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.8959
"Gravity on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.9124
"Jerk of the Body Magnitude" "Mean" "LAYING" 1 -0.9484
"Jerk of the Body Magnitude" "Mean" "SITTING" 1 -0.9886
"Jerk of the Body Magnitude" "Mean" "STANDING" 1 -0.9937
"Jerk of the Body Magnitude" "Mean" "WALKING" 1 -0.2041
"Jerk of the Body Magnitude" "Mean" "WALKING_DOWNSTAIRS" 1 -0.1602
"Jerk of the Body Magnitude" "Mean" "WALKING_UPSTAIRS" 1 -0.5347
"Jerk of the Body Magnitude" "Standard Deviation" "LAYING" 1 -0.9296
"Jerk of the Body Magnitude" "Standard Deviation" "SITTING" 1 -0.9853
"Jerk of the Body Magnitude" "Standard Deviation" "STANDING" 1 -0.9938
"Jerk of the Body Magnitude" "Standard Deviation" "WALKING" 1 -0.2212
"Jerk of the Body Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.2071
"Jerk of the Body Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.5886
"Jerk of the Body on the X-axis" "Mean" "LAYING" 1 -0.3278
"Jerk of the Body on the X-axis" "Mean" "SITTING" 1 -0.3343
"Jerk of the Body on the X-axis" "Mean" "STANDING" 1 -0.3396
"Jerk of the Body on the X-axis" "Mean" "WALKING" 1 -0.0622
"Jerk of the Body on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.0158
"Jerk of the Body on the X-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.1669
"Jerk of the Body on the X-axis" "Standard Deviation" "LAYING" 1 -0.9471
"Jerk of the Body on the X-axis" "Standard Deviation" "SITTING" 1 -0.9886
"Jerk of the Body on the X-axis" "Standard Deviation" "STANDING" 1 -0.9942
"Jerk of the Body on the X-axis" "Standard Deviation" "WALKING" 1 -0.1515
"Jerk of the Body on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.1952
"Jerk of the Body on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.5078
"Jerk of the Body on the Y-axis" "Mean" "LAYING" 1 -0.32
"Jerk of the Body on the Y-axis" "Mean" "SITTING" 1 -0.3408
"Jerk of the Body on the Y-axis" "Mean" "STANDING" 1 -0.3405
"Jerk of the Body on the Y-axis" "Mean" "WALKING" 1 -0.0156
"Jerk of the Body on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.0477
"Jerk of the Body on the Y-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.1454
"Jerk of the Body on the Y-axis" "Standard Deviation" "LAYING" 1 -0.9414
"Jerk of the Body on the Y-axis" "Standard Deviation" "SITTING" 1 -0.9845
"Jerk of the Body on the Y-axis" "Standard Deviation" "STANDING" 1 -0.9893
"Jerk of the Body on the Y-axis" "Standard Deviation" "WALKING" 1 -0.0436
"Jerk of the Body on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.1583
"Jerk of the Body on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.4539
"Jerk of the Body on the Z-axis" "Mean" "LAYING" 1 -0.3371
"Jerk of the Body on the Z-axis" "Mean" "SITTING" 1 -0.3454
"Jerk of the Body on the Z-axis" "Mean" "STANDING" 1 -0.3478
"Jerk of the Body on the Z-axis" "Mean" "WALKING" 1 -0.1731
"Jerk of the Body on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 1 -0.1088
"Jerk of the Body on the Z-axis" "Mean" "WALKING_UPSTAIRS" 1 -0.2572
"Jerk of the Body on the Z-axis" "Standard Deviation" "LAYING" 1 -0.9577
"Jerk of the Body on the Z-axis" "Standard Deviation" "SITTING" 1 -0.9881
"Jerk of the Body on the Z-axis" "Standard Deviation" "STANDING" 1 -0.9922
"Jerk of the Body on the Z-axis" "Standard Deviation" "WALKING" 1 -0.4806
"Jerk of the Body on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 1 -0.3387
"Jerk of the Body on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 1 -0.6797
"Body Magnitude" "Mean" "LAYING" 2 -0.9687
"Body Magnitude" "Mean" "SITTING" 2 -0.9618
"Body Magnitude" "Mean" "STANDING" 2 -0.9638
"Body Magnitude" "Mean" "WALKING" 2 -0.398
"Body Magnitude" "Mean" "WALKING_DOWNSTAIRS" 2 -0.0249
"Body Magnitude" "Mean" "WALKING_UPSTAIRS" 2 -0.2307
"Body Magnitude" "Standard Deviation" "LAYING" 2 -0.9676
"Body Magnitude" "Standard Deviation" "SITTING" 2 -0.9578
"Body Magnitude" "Standard Deviation" "STANDING" 2 -0.9573
"Body Magnitude" "Standard Deviation" "WALKING" 2 -0.5511
"Body Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.1133
"Body Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.3472
"Body on the X-axis" "Mean" "LAYING" 2 -0.4251
"Body on the X-axis" "Mean" "SITTING" 2 -0.4342
"Body on the X-axis" "Mean" "STANDING" 2 -0.4242
"Body on the X-axis" "Mean" "WALKING" 2 -0.1381
"Body on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 2 0.0322
"Body on the X-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.1022
"Body on the X-axis" "Standard Deviation" "LAYING" 2 -0.9811
"Body on the X-axis" "Standard Deviation" "SITTING" 2 -0.9867
"Body on the X-axis" "Standard Deviation" "STANDING" 2 -0.9811
"Body on the X-axis" "Standard Deviation" "WALKING" 2 -0.5117
"Body on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.1594
"Body on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.3851
"Body on the Y-axis" "Mean" "LAYING" 2 -0.5233
"Body on the Y-axis" "Mean" "SITTING" 2 -0.5038
"Body on the Y-axis" "Mean" "STANDING" 2 -0.5082
"Body on the Y-axis" "Mean" "WALKING" 2 -0.1609
"Body on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 2 -0.0278
"Body on the Y-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.1329
"Body on the Y-axis" "Standard Deviation" "LAYING" 2 -0.9814
"Body on the Y-axis" "Standard Deviation" "SITTING" 2 -0.9643
"Body on the Y-axis" "Standard Deviation" "STANDING" 2 -0.9644
"Body on the Y-axis" "Standard Deviation" "WALKING" 2 -0.3297
"Body on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.1099
"Body on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.1833
"Body on the Z-axis" "Mean" "LAYING" 2 -0.4774
"Body on the Z-axis" "Mean" "SITTING" 2 -0.4995
"Body on the Z-axis" "Mean" "STANDING" 2 -0.4853
"Body on the Z-axis" "Mean" "WALKING" 2 -0.2183
"Body on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 2 -0.0596
"Body on the Z-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.1533
"Body on the Z-axis" "Standard Deviation" "LAYING" 2 -0.9731
"Body on the Z-axis" "Standard Deviation" "SITTING" 2 -0.96
"Body on the Z-axis" "Standard Deviation" "STANDING" 2 -0.9577
"Body on the Z-axis" "Standard Deviation" "WALKING" 2 -0.4804
"Body on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.2418
"Body on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.1472
"Gravity Magnitude" "Mean" "LAYING" 2 -0.9774
"Gravity Magnitude" "Mean" "SITTING" 2 -0.9679
"Gravity Magnitude" "Mean" "STANDING" 2 -0.9659
"Gravity Magnitude" "Mean" "WALKING" 2 -0.2904
"Gravity Magnitude" "Mean" "WALKING_DOWNSTAIRS" 2 0.09
"Gravity Magnitude" "Mean" "WALKING_UPSTAIRS" 2 -0.1073
"Gravity Magnitude" "Standard Deviation" "LAYING" 2 -0.9729
"Gravity Magnitude" "Standard Deviation" "SITTING" 2 -0.9531
"Gravity Magnitude" "Standard Deviation" "STANDING" 2 -0.9579
"Gravity Magnitude" "Standard Deviation" "WALKING" 2 -0.4225
"Gravity Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 0.2156
"Gravity Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.206
"Gravity on the X-axis" "Mean" "LAYING" 2 -0.5098
"Gravity on the X-axis" "Mean" "SITTING" 2 0.9405
"Gravity on the X-axis" "Mean" "STANDING" 2 0.8969
"Gravity on the X-axis" "Mean" "WALKING" 2 0.913
"Gravity on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 2 0.8618
"Gravity on the X-axis" "Mean" "WALKING_UPSTAIRS" 2 0.7907
"Gravity on the X-axis" "Standard Deviation" "LAYING" 2 -0.959
"Gravity on the X-axis" "Standard Deviation" "SITTING" 2 -0.98
"Gravity on the X-axis" "Standard Deviation" "STANDING" 2 -0.9867
"Gravity on the X-axis" "Standard Deviation" "WALKING" 2 -0.9727
"Gravity on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.9404
"Gravity on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.9344
"Gravity on the Y-axis" "Mean" "LAYING" 2 0.7525
"Gravity on the Y-axis" "Mean" "SITTING" 2 -0.1056
"Gravity on the Y-axis" "Mean" "STANDING" 2 -0.3701
"Gravity on the Y-axis" "Mean" "WALKING" 2 -0.3466
"Gravity on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 2 -0.3258
"Gravity on the Y-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.4162
"Gravity on the Y-axis" "Standard Deviation" "LAYING" 2 -0.9882
"Gravity on the Y-axis" "Standard Deviation" "SITTING" 2 -0.9568
"Gravity on the Y-axis" "Standard Deviation" "STANDING" 2 -0.9742
"Gravity on the Y-axis" "Standard Deviation" "WALKING" 2 -0.9721
"Gravity on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.9401
"Gravity on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.9238
"Gravity on the Z-axis" "Mean" "LAYING" 2 0.6468
"Gravity on the Z-axis" "Mean" "SITTING" 2 0.1987
"Gravity on the Z-axis" "Mean" "STANDING" 2 0.1297
"Gravity on the Z-axis" "Mean" "WALKING" 2 0.0847
"Gravity on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 2 -0.0439
"Gravity on the Z-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.1959
"Gravity on the Z-axis" "Standard Deviation" "LAYING" 2 -0.9842
"Gravity on the Z-axis" "Standard Deviation" "SITTING" 2 -0.9544
"Gravity on the Z-axis" "Standard Deviation" "STANDING" 2 -0.9459
"Gravity on the Z-axis" "Standard Deviation" "WALKING" 2 -0.9721
"Gravity on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.9314
"Gravity on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.878
"Jerk of the Body Magnitude" "Mean" "LAYING" 2 -0.9888
"Jerk of the Body Magnitude" "Mean" "SITTING" 2 -0.9879
"Jerk of the Body Magnitude" "Mean" "STANDING" 2 -0.9798
"Jerk of the Body Magnitude" "Mean" "WALKING" 2 -0.3954
"Jerk of the Body Magnitude" "Mean" "WALKING_DOWNSTAIRS" 2 -0.1408
"Jerk of the Body Magnitude" "Mean" "WALKING_UPSTAIRS" 2 -0.4211
"Jerk of the Body Magnitude" "Standard Deviation" "LAYING" 2 -0.9873
"Jerk of the Body Magnitude" "Standard Deviation" "SITTING" 2 -0.987
"Jerk of the Body Magnitude" "Standard Deviation" "STANDING" 2 -0.9767
"Jerk of the Body Magnitude" "Standard Deviation" "WALKING" 2 -0.361
"Jerk of the Body Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.0574
"Jerk of the Body Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.4242
"Jerk of the Body on the X-axis" "Mean" "LAYING" 2 -0.3351
"Jerk of the Body on the X-axis" "Mean" "SITTING" 2 -0.3364
"Jerk of the Body on the X-axis" "Mean" "STANDING" 2 -0.3373
"Jerk of the Body on the X-axis" "Mean" "WALKING" 2 -0.1082
"Jerk of the Body on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 2 0.0634
"Jerk of the Body on the X-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.089
"Jerk of the Body on the X-axis" "Standard Deviation" "LAYING" 2 -0.9888
"Jerk of the Body on the X-axis" "Standard Deviation" "SITTING" 2 -0.9891
"Jerk of the Body on the X-axis" "Standard Deviation" "STANDING" 2 -0.9811
"Jerk of the Body on the X-axis" "Standard Deviation" "WALKING" 2 -0.3271
"Jerk of the Body on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.0156
"Jerk of the Body on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.3688
"Jerk of the Body on the Y-axis" "Mean" "LAYING" 2 -0.3355
"Jerk of the Body on the Y-axis" "Mean" "SITTING" 2 -0.3357
"Jerk of the Body on the Y-axis" "Mean" "STANDING" 2 -0.3343
"Jerk of the Body on the Y-axis" "Mean" "WALKING" 2 -0.0381
"Jerk of the Body on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 2 0.0169
"Jerk of the Body on the Y-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.08
"Jerk of the Body on the Y-axis" "Standard Deviation" "LAYING" 2 -0.9859
"Jerk of the Body on the Y-axis" "Standard Deviation" "SITTING" 2 -0.9832
"Jerk of the Body on the Y-axis" "Standard Deviation" "STANDING" 2 -0.976
"Jerk of the Body on the Y-axis" "Standard Deviation" "WALKING" 2 -0.222
"Jerk of the Body on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.0872
"Jerk of the Body on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.3582
"Jerk of the Body on the Z-axis" "Mean" "LAYING" 2 -0.3527
"Jerk of the Body on the Z-axis" "Mean" "SITTING" 2 -0.3404
"Jerk of the Body on the Z-axis" "Mean" "STANDING" 2 -0.3476
"Jerk of the Body on the Z-axis" "Mean" "WALKING" 2 -0.1995
"Jerk of the Body on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 2 -0.1212
"Jerk of the Body on the Z-axis" "Mean" "WALKING_UPSTAIRS" 2 -0.1826
"Jerk of the Body on the Z-axis" "Standard Deviation" "LAYING" 2 -0.9886
"Jerk of the Body on the Z-axis" "Standard Deviation" "SITTING" 2 -0.9872
"Jerk of the Body on the Z-axis" "Standard Deviation" "STANDING" 2 -0.9804
"Jerk of the Body on the Z-axis" "Standard Deviation" "WALKING" 2 -0.5458
"Jerk of the Body on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 2 -0.3222
"Jerk of the Body on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 2 -0.5555
"Body Magnitude" "Mean" "LAYING" 3 -0.9636
"Body Magnitude" "Mean" "SITTING" 3 -0.9164
"Body Magnitude" "Mean" "STANDING" 3 -0.9145
"Body Magnitude" "Mean" "WALKING" 3 -0.3952
"Body Magnitude" "Mean" "WALKING_DOWNSTAIRS" 3 -0.1454
"Body Magnitude" "Mean" "WALKING_UPSTAIRS" 3 -0.3404
"Body Magnitude" "Standard Deviation" "LAYING" 3 -0.9606
"Body Magnitude" "Standard Deviation" "SITTING" 3 -0.899
"Body Magnitude" "Standard Deviation" "STANDING" 3 -0.9006
"Body Magnitude" "Standard Deviation" "WALKING" 3 -0.4947
"Body Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 3 -0.2108
"Body Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 3 -0.4089
"Body on the X-axis" "Mean" "LAYING" 3 -0.424
"Body on the X-axis" "Mean" "SITTING" 3 -0.4273
"Body on the X-axis" "Mean" "STANDING" 3 -0.4015
"Body on the X-axis" "Mean" "WALKING" 3 -0.1261
"Body on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 3 -0.0026
"Body on the X-axis" "Mean" "WALKING_UPSTAIRS" 3 -0.1093
"Body on the X-axis" "Standard Deviation" "LAYING" 3 -0.9792
"Body on the X-axis" "Standard Deviation" "SITTING" 3 -0.969
"Body on the X-axis" "Standard Deviation" "STANDING" 3 -0.9348
"Body on the X-axis" "Standard Deviation" "WALKING" 3 -0.4817
"Body on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 3 -0.1733
"Body on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 3 -0.3848
"Body on the Y-axis" "Mean" "LAYING" 3 -0.5075
"Body on the Y-axis" "Mean" "SITTING" 3 -0.4817
"Body on the Y-axis" "Mean" "STANDING" 3 -0.4797
"Body on the Y-axis" "Mean" "WALKING" 3 -0.1845
"Body on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 3 -0.1459
"Body on the Y-axis" "Mean" "WALKING_UPSTAIRS" 3 -0.2219
"Body on the Y-axis" "Standard Deviation" "LAYING" 3 -0.9701
"Body on the Y-axis" "Standard Deviation" "SITTING" 3 -0.8977
"Body on the Y-axis" "Standard Deviation" "STANDING" 3 -0.9092
"Body on the Y-axis" "Standard Deviation" "WALKING" 3 -0.3317
"Body on the Y-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 3 -0.3107
"Body on the Y-axis" "Standard Deviation" "WALKING_UPSTAIRS" 3 -0.2838
"Body on the Z-axis" "Mean" "LAYING" 3 -0.4735
"Body on the Z-axis" "Mean" "SITTING" 3 -0.4643
"Body on the Z-axis" "Mean" "STANDING" 3 -0.4727
"Body on the Z-axis" "Mean" "WALKING" 3 -0.2155
"Body on the Z-axis" "Mean" "WALKING_DOWNSTAIRS" 3 -0.1749
"Body on the Z-axis" "Mean" "WALKING_UPSTAIRS" 3 -0.2561
"Body on the Z-axis" "Standard Deviation" "LAYING" 3 -0.9644
"Body on the Z-axis" "Standard Deviation" "SITTING" 3 -0.8991
"Body on the Z-axis" "Standard Deviation" "STANDING" 3 -0.9121
"Body on the Z-axis" "Standard Deviation" "WALKING" 3 -0.4583
"Body on the Z-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 3 -0.4356
"Body on the Z-axis" "Standard Deviation" "WALKING_UPSTAIRS" 3 -0.4435
"Gravity Magnitude" "Mean" "LAYING" 3 -0.9728
"Gravity Magnitude" "Mean" "SITTING" 3 -0.8954
"Gravity Magnitude" "Mean" "STANDING" 3 -0.9254
"Gravity Magnitude" "Mean" "WALKING" 3 -0.2547
"Gravity Magnitude" "Mean" "WALKING_DOWNSTAIRS" 3 -0.0628
"Gravity Magnitude" "Mean" "WALKING_UPSTAIRS" 3 -0.184
"Gravity Magnitude" "Standard Deviation" "LAYING" 3 -0.9642
"Gravity Magnitude" "Standard Deviation" "SITTING" 3 -0.8703
"Gravity Magnitude" "Standard Deviation" "STANDING" 3 -0.9151
"Gravity Magnitude" "Standard Deviation" "WALKING" 3 -0.3284
"Gravity Magnitude" "Standard Deviation" "WALKING_DOWNSTAIRS" 3 -0.0411
"Gravity Magnitude" "Standard Deviation" "WALKING_UPSTAIRS" 3 -0.3336
"Gravity on the X-axis" "Mean" "LAYING" 3 -0.2418
"Gravity on the X-axis" "Mean" "SITTING" 3 0.9011
"Gravity on the X-axis" "Mean" "STANDING" 3 0.935
"Gravity on the X-axis" "Mean" "WALKING" 3 0.9365
"Gravity on the X-axis" "Mean" "WALKING_DOWNSTAIRS" 3 0.9391
"Gravity on the X-axis" "Mean" "WALKING_UPSTAIRS" 3 0.8835
"Gravity on the X-axis" "Standard Deviation" "LAYING" 3 -0.9825
"Gravity on the X-axis" "Standard Deviation" "SITTING" 3 -0.9573
"Gravity on the X-axis" "Standard Deviation" "STANDING" 3 -0.982
"Gravity on the X-axis" "Standard Deviation" "WALKING" 3 -0.9778
"Gravity on the X-axis" "Standard Deviation" "WALKING_DOWNSTAIRS" 3 -0.9501
"Gravity on the X-axis" "Standard Deviation" "WALKING_UPSTAIRS" 3 -0.944
"Gravity on the Y-axis" "Mean" "LAYING" 3 0.837
"Gravity on the Y-axis" "Mean" "SITTING" 3 0.1273
"Gravity on the Y-axis" "Mean" "STANDING" 3 -0.3017
"Gravity on the Y-axis" "Mean" "WALKING" 3 -0.262
"Gravity on the Y-axis" "Mean" "WALKING_DOWNSTAIRS" 3 -0.2288
"Gravity on the Y-axis" "Mean" "WALKING_UPSTAIRS" 3 -0.3829
"Gravity on the Y-axis" "Standard Deviation" "LAYING" 3 -0.9812
"Gravity on the Y-axis" "Standard Deviation" "SITTING" 3 -0.9039
"Gravity on the Y-axis" "Standard Deviation" "STANDING" 3 -0.9574
"Gravity on the Y-axis" "Standard Deviation" "WALKING" 3 -0.9624
